Weight,ID,starttime,endtime,profile_GOR,profile_gross_household,responsible,consent,squarefootage,bedrooms,whenbuilt,profile_house_tenure,address_change_time,profile_household_size,under16sinhousehold,over75sinhousehold,EPCrating,SchemesAwareness_1,SchemesAwareness_2,SchemesAwareness_3,SchemesAwareness_4,SchemesAwareness_5,SchemesAwareness_6,SchemesAwareness_7,CircumstancesLikelihood_1,CircumstancesLikelihood_2,CircumstancesLikelihood_3,CircumstancesLikelihood_4,CircumstancesLikelihood_5,AdoptionLikelihood,AdoptionLikelihood_1,AdoptionLikelihood_2,AdoptionLikelihood_3,AdoptionLikelihood_4,AdoptionLikelihood_5,adoptedmeasures_1,adoptedmeasures_2,adoptedmeasures_3,adoptedmeasures_4,adoptedmeasures_5,adoptedmeasures_6,adoptedmeasures_7,adoptedmeasures_8,adoptedmeasures_9,adoptedmeasures_10,adoptedmeasures_11,adoptedmeasures_12,adoptedmeasures_13,adoptedmeasures_14,house_type,housetype_nomiss,_mi_miss,_1_house_type2,_1_whenbuilt2,_1_bedrooms,_1_hhsize,_1_old75,_1_minor16,_1_income,_1_address_change_time,age,profile_gender,profile_socialgrade,profile_education_level,pastvote_ge_2019,_merge15,income,tenure,minor16,old75,hhsize,whenbuilt2,awarenessum,house_type2,treated,treatedsum,sumlowcost,lowcostdummy,sumhighcost,highcostdummy,treatedmulti
1.409329771,1799,7/31/2022,7/31/2022,4,6.0,1,1,6,3.0,3,2,7,2,2,1,2,0,0,0,0,0,0,0,5,5,6,6,5,1,6,5,6,6,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.0,Maisonette,0,4.0,3.0,3.0,2.0,0.0,1.0,6.0,7.0,29,0,3,6,,Matched (3),6.0,1.0,1,0,2.0,3.0,0,4.0,1,1,1,1,0,0,1.0
0.431286167,1801,7/30/2022,7/30/2022,10,17.0,1,1,6,3.0,1,2,,5,1,1,9,0,0,0,0,0,0,0,10,10,10,10,10,1,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Terraced,1,3.0,1.0,3.0,5.0,0.0,0.0,5.2736564,6.660297,35,0,5,16,98.0,Matched (3),,1.0,0,0,5.0,1.0,0,3.0,0,0,0,0,0,0,0.0
2.09927415,1802,7/26/2022,7/26/2022,5,7.0,1,1,2,3.0,4,2,6,2,1,1,4,0,1,0,0,0,0,0,4,5,6,5,7,1,7,7,8,7,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5.0,Flat,0,5.0,4.0,3.0,2.0,0.0,0.0,7.0,6.0,32,1,4,17,,Matched (3),7.0,1.0,0,0,2.0,4.0,1,5.0,1,1,0,0,1,1,2.0
0.51166139,1803,8/1/2022,8/1/2022,8,13.0,1,1,6,4.0,2,2,7,3,2,1,9,0,0,0,0,0,0,0,8,6,8,6,6,1,5,4,9,6,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,Terraced,0,3.0,2.0,4.0,3.0,0.0,1.0,13.0,7.0,44,0,2,15,,Matched (3),13.0,1.0,1,0,3.0,2.0,0,3.0,1,1,0,0,1,1,2.0
0.586543574,1804,7/31/2022,7/31/2022,6,3.0,1,1,6,4.0,4,2,,3,1,1,9,0,0,0,0,0,1,0,9,10,7,10,7,1,7,5,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,3.668844,4.0,4.0,3.0,0.0,0.0,3.0,5.2924967,19,0,3,11,1.0,Matched (3),3.0,1.0,0,0,3.0,4.0,1,,0,0,0,0,0,0,0.0
1.203030684,1805,7/31/2022,7/31/2022,3,9.0,1,1,3,4.0,5,2,5,3,2,1,1,0,1,0,0,0,0,0,4,7,5,4,6,1,6,5,5,5,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Semi detached,0,2.0,5.0,4.0,3.0,0.0,1.0,9.0,5.0,37,1,5,9,,Matched (3),9.0,1.0,1,0,3.0,5.0,1,2.0,1,1,1,1,0,0,1.0
1.286003725,1806,7/31/2022,7/31/2022,8,2.0,1,1,1,2.0,5,4,2,4,1,1,9,0,0,0,1,0,0,0,7,10,9,8,8,1,9,10,9,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.0,,1,3.675097,5.0,2.0,4.0,0.0,0.0,2.0,2.0,23,1,3,17,,Matched (3),2.0,2.0,0,0,4.0,5.0,1,,0,0,0,0,0,0,0.0
0.581745499,1807,7/20/2022,7/20/2022,4,,1,1,6,4.0,1,4,5,2,1,1,9,0,0,0,0,0,0,0,11,7,11,11,11,1,11,1,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,3.5364814,1.0,4.0,2.0,0.0,0.0,8.000476,5.0,34,0,2,17,2.0,Matched (3),,2.0,0,0,2.0,1.0,0,,0,0,0,0,0,0,0.0
0.716700691,1808,7/31/2022,7/31/2022,6,9.0,1,1,6,3.0,1,2,5,2,1,1,7,0,0,0,0,0,1,0,7,8,7,6,7,1,9,3,10,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Semi detached,0,2.0,1.0,3.0,2.0,0.0,0.0,9.0,5.0,30,0,3,16,1.0,Matched (3),9.0,1.0,0,0,2.0,1.0,1,2.0,0,0,0,0,0,0,0.0
1.439993226,1809,7/26/2022,7/26/2022,11,11.0,1,1,2,4.0,2,2,5,4,3,1,8,0,0,0,0,1,0,0,8,8,8,8,8,1,11,11,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Detached,0,1.0,2.0,4.0,4.0,0.0,1.0,11.0,5.0,42,1,3,16,1.0,Matched (3),11.0,1.0,1,0,4.0,2.0,1,1.0,0,0,0,0,0,0,0.0
